id,title,authors,year,tier,area,doc_type,url,landing,repo,source,fetched,sha256,reason_not_fetched
doi:10.1016/0004-3702(94)00041-x,"On the Acceptability of Arguments and its Fundamental Role in Nonmonotonic Reasoning, Logic Programming and n-Person Games",P.M. Dung,1995,1,formal,journal,https://www.sciencedirect.com/science/article/pii/000437029400041X,https://www.sciencedirect.com/science/article/pii/000437029400041X,,,False,,no open-access PDF url resolved
doi:10.1017/cbo9780511802034,Argumentation Schemes,Douglas Walton; Christopher Reed; Fabrizio Macagno,2008,1,formal,book,http://www.cambridge.org/us/academic/subjects/philosophy/logic/argumentation-schemes,http://www.cambridge.org/us/academic/subjects/philosophy/logic/argumentation-schemes,,,False,,no open-access PDF url resolved
doi:10.1017/s0269888906001044,Towards an Argument Interchange Format,Carlos Chesñevar; Jarred McGinnis; Sanjay Modgil; Iyad Rahwan,2006,1,formal,journal,http://dx.doi.org/10.1017/s0269888906001044,http://dx.doi.org/10.1017/s0269888906001044,,,False,,no open-access PDF url resolved
doi:10.1017/s0269888911000166,An introduction to argumentation semantics,Pietro Baroni; Martin Caminada; Massimiliano Giacomin,2011,1,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2013.869764,Introduction to structured argumentation,Philippe Besnard; Alejandro Garcia; Anthony Hunter; Sanjay Modgil,2014,1,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2013.869766,The ASPIC+ framework for structured argumentation: a tutorial,Sanjay Modgil; Henry Prakken,2014,1,formal,journal,http://www.informaworld.com,http://www.informaworld.com,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2013.869878,A tutorial on assumption-based argumentation,Francesca Toni,2014,1,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1145/2850417,Argumentation Mining: State of the Art and Emerging Trends,Marco Lippi; Paolo Torroni,2016,1,mining,journal,https://doi.org/10.1145/2850417,https://doi.org/10.1145/2850417,,,False,,no open-access PDF url resolved
doi:10.1162/coli_a_00364,Argument Mining: A Survey,John Lawrence; Chris Reed,2019,1,formal|mining,journal,https://aclanthology.org/J19-4006.pdf,https://aclanthology.org/J19-4006/,,,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.acl-long.107,Towards Argument Mining for Social Good: A Survey,Eva Maria Vecchi; Neele Falk; Iman Jundi; Gabriella Lapesa,2021,1,mining,conference,https://aclanthology.org/2021.acl-long.107.pdf,https://aclanthology.org/2021.acl-long.107/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
